,Unnamed: 0,type,category,review,star,token_review
458,458,아이폰12프로,만족도,"아이폰12 정말 만족합니다 ㅎㅎ싸
아이폰12 정말 만족합니다 ㅎㅎ싸게 사서 기뷴이 좋아요",5,"['아이폰', '12', '정말', '만족합니다', '싸', '\n', '아이폰', '12', '정말', '만족합니다', '싸게', '사서', '기뷴', '이', '좋아요']"
459,459,아이폰12프로,만족도,"2차 사전예약 했는데 생각보다 빨
2차 사전예약 했는데 생각보다 빨리 배송돼서 넘 좋아요",5,"['2', '차', '사전예약', '했는데', '생각', '보다', '빨', '\n', '2', '차', '사전예약', '했는데', '생각', '보다', '빨리', '배송', '돼서', '넘', '좋아요']"
460,460,아이폰12프로,만족도,"사전 안내된 발송일보다 며칠 빠
사전 안내된 발송일보다 며칠 빠르게 발송되어서 좋았습니다.
하지만 사전예약 구매임에도 며칠이나 지난 뒤에 받게 된 건 아쉽습니다.
제품은 좋습니다. 배송도 아무 문제 없이 무사히 잘 되었습니다.",5,"['사전', '안', '내', '된', '발송', '일보', '다', '며칠', '빠', '\n', '사전', '안', '내', '된', '발송', '일보', '다', '며칠', '빠르게', '발송', '되어서', '좋았습니다', '\n', '하지만', '사전예약', '구', '매', '임', '에도', '며칠', '이나', '지난', '뒤', '에', '받게', '된', '건', '아쉽습니다', '\n', '제품', '은', '좋습니다', '배송', '도', '아무', '문제', '없이', '무사히', '잘', '되었습니다']"
461,461,아이폰12프로,만족도,"좋은 상품 잘받았습니다. 잘쓸게요!!
좋은 상품 잘받았습니다. 잘쓸게요!!",5,"['좋은', '상품', '잘', '받았습니다', '잘쓸게요', '\n', '좋은', '상품', '잘', '받았습니다', '잘쓸게요']"
462,462,아이폰12프로,만족도,"생각보다 빨리 와서 너무 좋습니
생각보다 빨리 와서 너무 좋습니다",5,"['생각', '보다', '빨리', '와서', '너무', '좋', '습', '니', '\n', '생각', '보다', '빨리', '와서', '너무', '좋습니다']"
463,463,아이폰12프로,만족도,"사전예약 아주좋아요
사전예약 아주좋아요",5,"['사전예약', '아주', '좋아요', '\n', '사전예약', '아주', '좋아요']"
464,464,아이폰12프로,만족도,"좋습니다 만족해요...
좋습니다 만족해요...",5,"['좋습니다', '만족해요', '\n', '좋습니다', '만족해요']"
465,465,아이폰12프로,만족도,"사전예약 좋아요~ ~ ~
사전예약 좋아요~ ~ ~",5,"['사전예약', '좋아요', '사전예약', '좋아요']"
466,466,아이폰12프로,만족도,"생각보다 너무 일찍와서 너무너무
생각보다 너무 일찍와서 너무너무 좋네요^^
할인도받고 배송도 빠르고 짱이에용",5,"['생각', '보다', '너무', '일찍', '와', '서', '너무', '너무', '\n', '생각', '보다', '너무', '일찍', '와', '서', '너무', '너무', '좋네요', '\n', '할인', '도', '받고', '배송', '도', '빠르고', '짱', '이', '에', '용']"
467,467,아이폰12프로,만족도,"11월 3일 오후 1시 40분에 주문해서 11월 5일 오후에 받았습니다. 다행히 양품으로 받았고 만족스럽네여.
11월 3일 오후 1시 40분에 주문해서 11월 5일 오후에 받았습니다. 다행히 양품으로 받았고 만족스럽네여.",5,"['11월', '3일', '오후', '1시', '40분', '에', '주문', '해서', '11월', '5일', '오후', '에', '받았습니다', '다행히', '양품', '으로', '받았고', '만족스럽', '네', '여', '\n', '11월', '3일', '오후', '1시', '40분', '에', '주문', '해서', '11월', '5일', '오후', '에', '받았습니다', '다행히', '양품', '으로', '받았고', '만족스럽', '네', '여']"
468,468,아이폰12프로,만족도,"꺄 생각보다 일찍받았고 상품 너
꺄 생각보다 일찍받았고 상품 너무 좋네요!!! 감사합니다 ㅠㅠ",5,"['꺄', '생각', '보다', '일찍', '받았고', '상품', '너', '\n', '꺄', '생각', '보다', '일찍', '받았고', '상품', '너무', '좋네요', '감사합니다']"
469,469,아이폰12프로,만족도,"30일날 점심때 쯤 받았습니다.
오
30일날 점심때 쯤 받았습니다.
오랜만에 핸드폰을 바꿨는데, 출시날에 잘 받아서 좋았습니다.
할인도 좋았구요~ 배송도 빨랐고 여러가지로 마음에 들었습니다.
딱히 불량도 없고 좋습니다.
감사합니다.",5,"['30일', '날', '점심때', '쯤', '받았습니다', '\n', '오', '\n', '30일', '날', '점심때', '쯤', '받았습니다', '\n', '오랜', '만', '에', '핸드폰', '을', '바꿨는데', '출시', '날', '에', '잘', '받아서', '좋았습니다', '\n', '할인', '도', '좋았구요', '배송', '도', '빨랐고', '여러가지', '로', '마음', '에', '들었습니다', '\n', '딱히', '불량', '도', '없고', '좋습니다', '\n', '감사합니다']"
470,470,아이폰12프로,만족도,"현대카드로 18만원 가까이 할인받
현대카드로 18만원 가까이 할인받고 잘 샀습니다.
둘째주 배송이라고 했는데 첫째주에 배송 받았습니다.
그래파이트 구하기가 어렵다는데 득템한 기분입니다.",5,"['현', '대', '카드', '로', '18만원', '가까이', '할인', '받', '\n', '현', '대', '카드', '로', '18만원', '가까이', '할인', '받고', '잘', '샀습니다', '\n', '둘째', '주', '배송', '이라고', '했는데', '첫째', '주', '에', '배송', '받았습니다', '\n', '그래', '파이트', '구', '하기가', '어렵다는데', '득템', '한', '기분', '입니다']"
471,471,아이폰12프로,만족도,"1차예약분으로 샀어요. 출시 당일
1차예약분으로 샀어요. 출시 당일 바로 배송됐네요. 할인도 받아서 좋아요.",5,"['1', '차', '예약', '분', '으로', '샀어요', '출시', '당일', '\n', '1', '차', '예약', '분', '으로', '샀어요', '출시', '당일', '바로', '배송', '됐네요', '할인', '도', '받아서', '좋아요']"
472,472,아이폰12프로,만족도,"배송도 빠르고 카드할인도 너무
배송도 빠르고 카드할인도 너무 좋았습니다
내년 아이폰 13에 또 만나요",5,"['배송', '도', '빠르고', '카드', '할인', '도', '너무', '\n', '배송', '도', '빠르고', '카드', '할인', '도', '너무', '좋았습니다', '\n', '내년', '아이폰', '13', '에', '또', '만나요']"
473,473,아이폰12프로,만족도,"정말 잘 받았습니다. 딸아이가 좋
정말 잘 받았습니다. 딸아이가 좋아해요.",5,"['정말', '잘', '받았습니다', '딸아이', '가', '좋', '\n', '정말', '잘', '받았습니다', '딸아이', '가', '좋아해요']"
474,474,아이폰12프로,만족도,"청구할인 받아서 사서 좋아요 빨
청구할인 받아서 사서 좋아요 빨라요",5,"['청구', '할인', '받아서', '사서', '좋아요', '빨', '\n', '청구', '할인', '받아서', '사서', '좋아요', '빨라요']"
475,475,아이폰12프로,만족도,"좋은제품 잘 받았습니다
잘 쓸게
좋은제품 잘 받았습니다
잘 쓸게요",5,"['좋은', '제품', '잘', '받았습니다', '\n', '잘', '쓸게', '\n', '좋은', '제품', '잘', '받았습니다', '\n', '잘', '쓸게요']"
476,476,아이폰12프로,만족도,"배송도 빠르고 만족스럽습니다
배송도 빠르고 만족스럽습니다",5,"['배송', '도', '빠르고', '만족스럽습니다', '\n', '배송', '도', '빠르고', '만족스럽습니다']"
477,477,아이폰12프로,만족도,"미친배송!! 미친퀄리띠!!! 굿뜨 굿!
미친배송!! 미친퀄리띠!!! 굿뜨 굿!!!
관계자들 잘쓸께요^^!",5,"['미친', '배송', '미친', '퀄리띠', '굿', '뜨', '굿', '\n', '미친', '배송', '미친', '퀄리띠', '굿', '뜨', '굿', '\n', '관계자', '들', '잘쓸께요']"
478,478,아이폰12프로,만족도,"명불허전 아이폰 개간지폰 ㅎㅎㅎ
명불허전 아이폰 개간지폰 ㅎㅎㅎ",5,"['명불허전', '아이폰', '개간', '지', '폰', '명불허전', '아이폰', '개간', '지', '폰']"
